 INFO | 2017-09-12 13:08:18,671 | Common.java | 73 | Startup activites...
 INFO | 2017-09-12 13:08:18,674 | Common.java | 73 | Test Output Directory creation successful :D:\Prakashs_Backup\DemoWorkspaceFinal\SWAUTJenkins\TestResults\2017_09_12_01_08_18_PM
 INFO | 2017-09-12 13:08:18,674 | Common.java | 73 | Log File creation successful : LogFile.log
 INFO | 2017-09-12 13:08:18,882 | Common.java | 73 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./src/test/resources/TestCaseSettings.xls
 INFO | 2017-09-12 13:08:18,974 | Common.java | 73 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2017-09-12 13:08:19,122 | Common.java | 73 | Getting value of ElementLoadWaitTime from Test Configuration file : 30
 INFO | 2017-09-12 13:08:19,123 | Common.java | 73 | Getting value of TextLoadWaitTime from Test Configuration file : 10
 INFO | 2017-09-12 13:08:19,123 | Common.java | 73 | Getting value of PageLoadWaitTime from Test Configuration file : 120
 INFO | 2017-09-12 13:08:19,123 | Common.java | 73 | Getting value of ImplicitlyWaitTime from Test Configuration file : 30
 INFO | 2017-09-12 13:08:19,124 | Common.java | 73 | Element time out set
 INFO | 2017-09-12 13:08:19,124 | Common.java | 73 | ##### Start of Test Case : Search a hotel #####
 INFO | 2017-09-12 13:08:19,124 | Common.java | 73 | Test Case Name: TC_002
 INFO | 2017-09-12 13:08:19,124 | Common.java | 73 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2017-09-12 13:08:19,174 | Common.java | 73 | Test Data Set Name: TC_002
 INFO | 2017-09-12 13:08:19,175 | Common.java | 73 | Execution Flag: Execute
 INFO | 2017-09-12 13:08:19,175 | Common.java | 73 | Test Data Set Name: TC_002_01
 INFO | 2017-09-12 13:08:19,176 | Common.java | 73 | Execution Flag: YES
 INFO | 2017-09-12 13:08:19,176 | Common.java | 73 | Test Data Set Name: 
 INFO | 2017-09-12 13:08:19,176 | Common.java | 73 | Execution Flag: 
